FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Battalion 22/Ladder 79,1189 Castleton Avenue,Staten Island,10310,40.634384,-74.122039,501,49,13302,5005308,5001980136,West New Brighton-New Brighton-St. George
Engine 156,412 Broadway,Staten Island,10310,40.630985,-74.116719,501,49,125,5005815,5002170050,West New Brighton-New Brighton-St. George
Engine 163/Ladder 83,875 Jewett Avenue,Staten Island,10314,40.615247,-74.130815,501,50,151,5010816,5003770018,Westerleigh
Engine 153/Ladder 77,74 Broad Street,Staten Island,10304,40.625033,-74.077692,501,49,27,5013836,5005290009,Stapleton-Rosebank
Engine 165/Ladder 85,3067 Richmond Road,Staten Island,10306,40.576077,-74.123714,502,50,181,5023532,5009490001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
Engine 157/Ladder 80,1573 Castleton Avenue,Staten Island,10302,40.636191,-74.135394,501,49,207,5025442,5010800002,Port Richmond
Engine 158,65 Harbor Road,Staten Island,10303,40.635265,-74.160052,501,49,223,5027755,5012270025,Mariner's Harbor-Arlington-Port Ivory-Graniteville
Engine 166/Ladder 86,1400 Richmond Avenue,Staten Island,10314,40.614264,-74.158172,502,50,29104,5031692,5016120005,New Springville-Bloomfield-Travis
Staten Island Borough Command/Squad 8,3730 Victory Boulevard,Staten Island,10314,40.59793,-74.180532,502,50,29102,5041882,5026650025,New Springville-Bloomfield-Travis
Battalion 21/Engine 152,256 Hylan Blvd.,Staten Island,10305,40.611716,-74.070475,501,49,8,5042846,5028560015,Stapleton-Rosebank
Engine 161/Ladder 81,278 McClean Avenue,Staten Island,10305,40.596763,-74.069879,502,50,74,5045654,5031080025,Grasmere-Arrochar-Ft. Wadsworth
Division 8/Engine 160/Rescue 5,1850 Clove Road,Staten Island,10304,40.60732,-74.089242,502,50,50,5046179,5031530038,Grasmere-Arrochar-Ft. Wadsworth
Engine 159,1592 Richmond Road,Staten Island,10304,40.590714,-74.100608,502,50,9602,5048682,5033060008,Old Town-Dongan Hills-South Beach
Battalion 23/Engine 162/Ladder 82,256 Nelson Ave.,Staten Island,10308,40.543104,-74.147405,503,51,15601,5067428,5052710031,Great Kills
Engine 167/Ladder 87,345 Annadale Road,Staten Island,10312,40.554191,-74.175479,503,51,17012,5075428,5056420006,Annadale-Huguenot-Prince's Bay-Eltingville
Engine 164/Ladder 84,1560 Drumgoole Road West,Staten Island,10312,40.535418,-74.196059,503,51,20804,5083491,5068280065,Rossville-Woodrow
Engine 151/Ladder 76,7219 Amboy Road,Staten Island,10307,40.512739,-74.23895,503,51,248,5089056,5080400010,Charleston-Richmond Valley-Tottenville
Engine 168,1100 Rossville Ave,Staten Island,10309,40.553942,-74.213083,503,51,20801,5154879,5070670252,Rossville-Woodrow
Marine 9,305 Front Street,Staten Island,10304,40.629954,-74.07243,501,49,21,5169276,5004870100,Stapleton-Rosebank
